,0,Emotion
133,"He’s cultivated, one sees, simply to be able to despise culture, as they despise everything but animal pleasures.” “But don’t you all care for these animal pleasures?” she said, and again he noticed a dark look in her eyes that avoided him.",sadness
134,"“How is it you’re defending him?” he said, smiling.",joy
135,"“I’m not defending him, it’s nothing to me; but I imagine, if you had not cared for those pleasures yourself, you might have got out of them.",anger
136,"But if it affords you satisfaction to gaze at Thérèse in the attire of Eve....” “Again, the devil again,” Vronsky said, taking the hand she had laid on the table and kissing it.",sadness
137,“Yes; but I can’t help it.,anger
138,You don’t know what I have suffered waiting for you.,anger
139,I believe I’m not jealous.,anger
140,"I’m not jealous: I believe you when you’re here; but when you’re away somewhere leading your life, so incomprehensible to me....” She turned away from him, pulled the hook at last out of the crochet work, and rapidly, with the help of her forefinger, began working loop after loop of the wool that was dazzling white in the lamplight, while the slender wrist moved swiftly, nervously in the embroidered cuff.",fear
141,"“How was it, then?",anger
142,Where did you meet Alexey Alexandrovitch?” Her voice sounded in an unnatural and jarring tone.,anger
143,"“We ran up against each other in the doorway.” “And he bowed to you like this?” She drew a long face, and half-closing her eyes, quickly transformed her expression, folded her hands, and Vronsky suddenly saw in her beautiful face the very expression with which Alexey Alexandrovitch had bowed to him.",joy
144,"He smiled, while she laughed gaily, with that sweet, deep laugh, which was one of her greatest charms.",joy
145,"“I don’t understand him in the least,” said Vronsky.",anger
146,"“If after your avowal to him at your country house he had broken with you, if he had called me out—but this I can’t understand.",anger
147,How can he put up with such a position?,anger
148,"He feels it, that’s evident.” “He?” she said sneeringly.",joy
149,"“He’s perfectly satisfied.” “What are we all miserable for, when everything might be so happy?” “Only not he.",joy
150,"Don’t I know him, the falsity in which he’s utterly steeped?...",anger
151,"Could one, with any feeling, live as he is living with me?",joy
152,"He understands nothing, and feels nothing.",joy
153,Could a man of any feeling live in the same house with his unfaithful wife?,sadness
154,"Could he talk to her, call her ‘my dear’?” And again she could not help mimicking him: “‘Anna, _ma chère_; Anna, dear!’” “He’s not a man, not a human being—he’s a doll!",anger
155,No one knows him; but I know him.,anger
156,"Oh, if I’d been in his place, I’d long ago have killed, have torn to pieces a wife like me.",anger
157,"I wouldn’t have said, ‘Anna, _ma chère_’!",anger
158,"He’s not a man, he’s an official machine.",anger
159,"He doesn’t understand that I’m your wife, that he’s outside, that he’s superfluous.... Don’t let’s talk of him!...” “You’re unfair, very unfair, dearest,” said Vronsky, trying to soothe her.",anger
160,"“But never mind, don’t let’s talk of him.",anger
161,Tell me what you’ve been doing?,anger
162,What is the matter?,anger
163,"What has been wrong with you, and what did the doctor say?” She looked at him with mocking amusement.",anger
164,Evidently she had hit on other absurd and grotesque aspects in her husband and was awaiting the moment to give expression to them.,anger
165,"But he went on: “I imagine that it’s not illness, but your condition.",anger
166,"When will it be?” The ironical light died away in her eyes, but a different smile, a consciousness of something, he did not know what, and of quiet melancholy, came over her face.",sadness
167,"“Soon, soon.",joy
168,"You say that our position is miserable, that we must put an end to it.",sadness
169,"If you knew how terrible it is to me, what I would give to be able to love you freely and boldly!",joy
170,"I should not torture myself and torture you with my jealousy.... And it will come soon, but not as we expect.” And at the thought of how it would come, she seemed so pitiable to herself that tears came into her eyes, and she could not go on.",joy
171,"She laid her hand on his sleeve, dazzling and white with its rings in the lamplight.",joy
172,“It won’t come as we suppose.,anger
173,"I didn’t mean to say this to you, but you’ve made me.",anger
174,"Soon, soon, all will be over, and we shall all, all be at peace, and suffer no more.” “I don’t understand,” he said, understanding her.",joy
175,“You asked when?,anger
176,Soon.,joy
177,And I shan’t live through it.,anger
178,Don’t interrupt me!” and she made haste to speak.,anger
179,“I know it; I know for certain.,anger
180,"I shall die; and I’m very glad I shall die, and release myself and you.” Tears dropped from her eyes; he bent down over her hand and began kissing it, trying to hide his emotion, which, he knew, had no sort of grounds, though he could not control it.",joy
181,"“Yes, it’s better so,” she said, tightly gripping his hand.",anger
182,"“That’s the only way, the only way left us.” He had recovered himself, and lifted his head.",anger
183,“How absurd!,anger
184,"What absurd nonsense you are talking!” “No, it’s the truth.” “What, what’s the truth?” “That I shall die.",anger
185,"I have had a dream.” “A dream?” repeated Vronsky, and instantly he recalled the peasant of his dream.",sadness
186,"“Yes, a dream,” she said.",joy
187,“It’s a long while since I dreamed it.,anger
188,"I dreamed that I ran into my bedroom, that I had to get something there, to find out something; you know how it is in dreams,” she said, her eyes wide with horror; “and in the bedroom, in the corner, stood something.” “Oh, what nonsense!",sadness
189,How can you believe....” But she would not let him interrupt her.,anger
190,What she was saying was too important to her.,joy
191,"“And the something turned round, and I saw it was a peasant with a disheveled beard, little, and dreadful looking.",anger
192,"I wanted to run away, but he bent down over a sack, and was fumbling there with his hands....” She showed how he had moved his hands.",anger
193,There was terror in her face.,anger
194,"And Vronsky, remembering his dream, felt the same terror filling his soul.",sadness
195,"“He was fumbling and kept talking quickly, quickly in French, you know: _Il faut le battre, le fer, le broyer, le pétrir_.... And in my horror I tried to wake up, and woke up ... but woke up in the dream.",sadness
196,And I began asking myself what it meant.,anger
197,"And Korney said to me: ‘In childbirth you’ll die, ma’am, you’ll die....’ And I woke up.” “What nonsense, what nonsense!” said Vronsky; but he felt himself that there was no conviction in his voice.",joy
198,“But don’t let’s talk of it.,anger
199,"Ring the bell, I’ll have tea.",joy
200,And stay a little now; it’s not long I shall....” But all at once she stopped.,anger
201,The expression of her face instantaneously changed.,anger
202,"Horror and excitement were suddenly replaced by a look of soft, solemn, blissful attention.",joy
203,He could not comprehend the meaning of the change.,anger
204,She was listening to the stirring of the new life within her.,joy
205,"Alexey Alexandrovitch, after meeting Vronsky on his own steps, drove, as he had intended, to the Italian opera.",anger
206,"He sat through two acts there, and saw everyone he had wanted to see.",anger
207,"On returning home, he carefully scrutinized the hat stand, and noticing that there was not a military overcoat there, he went, as usual, to his own room.",anger
208,"But, contrary to his usual habit, he did not go to bed, he walked up and down his study till three o’clock in the morning.",anger
209,"The feeling of furious anger with his wife, who would not observe the proprieties and keep to the one stipulation he had laid on her, not to receive her lover in her own home, gave him no peace.",anger
210,"She had not complied with his request, and he was bound to punish her and carry out his threat—obtain a divorce and take away his son.",anger
211,"He knew all the difficulties connected with this course, but he had said he would do it, and now he must carry out his threat.",anger
212,"Countess Lidia Ivanovna had hinted that this was the best way out of his position, and of late the obtaining of divorces had been brought to such perfection that Alexey Alexandrovitch saw a possibility of overcoming the formal difficulties.",joy
213,"Misfortunes never come singly, and the affairs of the reorganization of the native tribes, and of the irrigation of the lands of the Zaraisky province, had brought such official worries upon Alexey Alexandrovitch that he had been of late in a continual condition of extreme irritability.",anger
214,"He did not sleep the whole night, and his fury, growing in a sort of vast, arithmetical progression, reached its highest limits in the morning.",joy
215,"He dressed in haste, and as though carrying his cup full of wrath, and fearing to spill any over, fearing to lose with his wrath the energy necessary for the interview with his wife, he went into her room directly he heard she was up.",anger
216,"Anna, who had thought she knew her husband so well, was amazed at his appearance when he went in to her.",surprise
217,"His brow was lowering, and his eyes stared darkly before him, avoiding her eyes; his mouth was tightly and contemptuously shut.",anger
218,"In his walk, in his gestures, in the sound of his voice there was a determination and firmness such as his wife had never seen in him.",sadness
219,"He went into her room, and without greeting her, walked straight up to her writing-table, and taking her keys, opened a drawer.",anger
220,“What do you want?” she cried.,anger
221,"“Your lover’s letters,” he said.",anger
222,"“They’re not here,” she said, shutting the drawer; but from that action he saw he had guessed right, and roughly pushing away her hand, he quickly snatched a portfolio in which he knew she used to put her most important papers.",joy
223,"She tried to pull the portfolio away, but he pushed her back.",anger
224,“Sit down!,anger
225,"I have to speak to you,” he said, putting the portfolio under his arm, and squeezing it so tightly with his elbow that his shoulder stood up.",anger
226,"Amazed and intimidated, she gazed at him in silence.",fear
227,"“I told you that I would not allow you to receive your lover in this house.” “I had to see him to....” She stopped, not finding a reason.",anger
228,"“I do not enter into the details of why a woman wants to see her lover.” “I meant, I only....” she said, flushing hotly.",anger
229,"This coarseness of his angered her, and gave her courage.",anger
230,“Surely you must feel how easy it is for you to insult me?” she said.,joy
231,"“An honest man and an honest woman may be insulted, but to tell a thief he’s a thief is simply _la constatation d’un fait_.” “This cruelty is something new I did not know in you.” “You call it cruelty for a husband to give his wife liberty, giving her the honorable protection of his name, simply on the condition of observing the proprieties: is that cruelty?” “It’s worse than cruel—it’s base, if you want to know!” Anna cried, in a rush of hatred, and getting up, she was going away.",anger
232,"“No!” he shrieked, in his shrill voice, which pitched a note higher than usual even, and his big hands clutching her by the arm so violently that red marks were left from the bracelet he was squeezing, he forcibly sat her down in her place.",anger
233,“Base!,anger
234,"If you care to use that word, what is base is to forsake husband and child for a lover, while you eat your husband’s bread!” She bowed her head.",anger
235,"She did not say what she had said the evening before to her lover, that _he_ was her husband, and her husband was superfluous; she did not even think that.",anger
236,"She felt all the justice of his words, and only said softly: “You cannot describe my position as worse than I feel it to be myself; but what are you saying all this for?” “What am I saying it for?",joy
237,"what for?” he went on, as angrily.",anger
238,"“That you may know that since you have not carried out my wishes in regard to observing outward decorum, I will take measures to put an end to this state of things.” “Soon, very soon, it will end, anyway,” she said; and again, at the thought of death near at hand and now desired, tears came into her eyes.",sadness
239,“It will end sooner than you and your lover have planned!,anger
240,If you must have the satisfaction of animal passion....” “Alexey Alexandrovitch!,joy
241,"I won’t say it’s not generous, but it’s not like a gentleman to strike anyone who’s down.” “Yes, you only think of yourself!",joy
242,But the sufferings of a man who was your husband have no interest for you.,anger
243,"You don’t care that his whole life is ruined, that he is thuff ... thuff....” Alexey Alexandrovitch was speaking so quickly that he stammered, and was utterly unable to articulate the word “suffering.” In the end he pronounced it “thuffering.” She wanted to laugh, and was immediately ashamed that anything could amuse her at such a moment.",sadness
244,"And for the first time, for an instant, she felt for him, put herself in his place, and was sorry for him.",sadness
245,But what could she say or do?,anger
246,"Her head sank, and she sat silent.",anger
247,"He too was silent for some time, and then began speaking in a frigid, less shrill voice, emphasizing random words that had no special significance.",joy
248,“I came to tell you....” he said.,anger
249,She glanced at him.,anger
250,"“No, it was my fancy,” she thought, recalling the expression of his face when he stumbled over the word “suffering.” “No; can a man with those dull eyes, with that self-satisfied complacency, feel anything?” “I cannot change anything,” she whispered.",fear
251,"“I have come to tell you that I am going tomorrow to Moscow, and shall not return again to this house, and you will receive notice of what I decide through the lawyer into whose hands I shall intrust the task of getting a divorce.",sadness
252,"My son is going to my sister’s,” said Alexey Alexandrovitch, with an effort recalling what he had meant to say about his son.",anger
253,"“You take Seryozha to hurt me,” she said, looking at him from under her brows.",anger
254,"“You do not love him.... Leave me Seryozha!” “Yes, I have lost even my affection for my son, because he is associated with the repulsion I feel for you.",joy
255,But still I shall take him.,anger
256,"Good-bye!” And he was going away, but now she detained him.",joy
257,"“Alexey Alexandrovitch, leave me Seryozha!” she whispered once more.",fear
258,“I have nothing else to say.,joy
259,Leave Seryozha till my ...,anger
260,"I shall soon be confined; leave him!” Alexey Alexandrovitch flew into a rage, and, snatching his hand from her, he went out of the room without a word.",anger
261,The waiting-room of the celebrated Petersburg lawyer was full when Alexey Alexandrovitch entered it.,joy
262,"Three ladies—an old lady, a young lady, and a merchant’s wife—and three gentlemen—one a German banker with a ring on his finger, the second a merchant with a beard, and the third a wrathful-looking government clerk in official uniform, with a cross on his neck—had obviously been waiting a long while already.",anger
263,Two clerks were writing at tables with scratching pens.,anger
264,"The appurtenances of the writing-tables, about which Alexey Alexandrovitch was himself very fastidious, were exceptionally good.",joy
265,He could not help observing this.,joy
266,"One of the clerks, without getting up, turned wrathfully to Alexey Alexandrovitch, half closing his eyes.",anger
267,“What are you wanting?” He replied that he had to see the lawyer on some business.,anger
268,"“He is engaged,” the clerk responded severely, and he pointed with his pen at the persons waiting, and went on writing.",anger
269,“Can’t he spare time to see me?” said Alexey Alexandrovitch.,anger
270,“He has no time free; he is always busy.,joy
271,"Kindly wait your turn.” “Then I must trouble you to give him my card,” Alexey Alexandrovitch said with dignity, seeing the impossibility of preserving his incognito.",anger
272,"The clerk took the card and, obviously not approving of what he read on it, went to the door.",anger
273,"Alexey Alexandrovitch was in principle in favor of the publicity of legal proceedings, though for some higher official considerations he disliked the application of the principle in Russia, and disapproved of it, as far as he could disapprove of anything instituted by authority of the Emperor.",anger
274,"His whole life had been spent in administrative work, and consequently, when he did not approve of anything, his disapproval was softened by the recognition of the inevitability of mistakes and the possibility of reform in every department.",joy
275,In the new public law courts he disliked the restrictions laid on the lawyers conducting cases.,anger
276,"But till then he had had nothing to do with the law courts, and so had disapproved of their publicity simply in theory; now his disapprobation was strengthened by the unpleasant impression made on him in the lawyer’s waiting room.",sadness
277,"“Coming immediately,” said the clerk; and two minutes later there did actually appear in the doorway the large figure of an old solicitor who had been consulting with the lawyer himself.",anger
278,"The lawyer was a little, squat, bald man, with a dark, reddish beard, light-colored long eyebrows, and an overhanging brow.",joy
279,"He was attired as though for a wedding, from his cravat to his double watch-chain and varnished boots.",anger
280,"His face was clever and manly, but his dress was dandified and in bad taste.",joy
281,"“Pray walk in,” said the lawyer, addressing Alexey Alexandrovitch; and, gloomily ushering Karenin in before him, he closed the door.",anger
282,“Won’t you sit down?” He indicated an armchair at a writing-table covered with papers.,anger
283,"He sat down himself, and, rubbing his little hands with short fingers covered with white hairs, he bent his head on one side.",anger
284,But as soon as he was settled in this position a moth flew over the table.,anger
285,"The lawyer, with a swiftness that could never have been expected of him, opened his hands, caught the moth, and resumed his former attitude.",anger
286,"“Before beginning to speak of my business,” said Alexey Alexandrovitch, following the lawyer’s movements with wondering eyes, “I ought to observe that the business about which I have to speak to you is to be strictly private.” The lawyer’s overhanging reddish mustaches were parted in a scarcely perceptible smile.",joy
287,“I should not be a lawyer if I could not keep the secrets confided to me.,anger
288,"But if you would like proof....” Alexey Alexandrovitch glanced at his face, and saw that the shrewd, gray eyes were laughing, and seemed to know all about it already.",joy
289,“You know my name?” Alexey Alexandrovitch resumed.,anger
290,"“I know you and the good”—again he caught a moth—“work you are doing, like every Russian,” said the lawyer, bowing.",anger
291,"Alexey Alexandrovitch sighed, plucking up his courage.",anger
292,"But having once made up his mind he went on in his shrill voice, without timidity—or hesitation, accentuating here and there a word.",joy
293,"“I have the misfortune,” Alexey Alexandrovitch began, “to have been deceived in my married life, and I desire to break off all relations with my wife by legal means—that is, to be divorced, but to do this so that my son may not remain with his mother.” The lawyer’s gray eyes tried not to laugh, but they were dancing with irrepressible glee, and Alexey Alexandrovitch saw that it was not simply the delight of a man who has just got a profitable job: there was triumph and joy, there was a gleam like the malignant gleam he saw in his wife’s eyes.",anger
294,"“You desire my assistance in securing a divorce?” “Yes, precisely so; but I ought to warn you that I may be wasting your time and attention.",anger
295,I have come simply to consult you as a preliminary step.,anger
296,"I want a divorce, but the form in which it is possible is of great consequence to me.",anger
297,"It is very possible that if that form does not correspond with my requirements I may give up a legal divorce.” “Oh, that’s always the case,” said the lawyer, “and that’s always for you to decide.” He let his eyes rest on Alexey Alexandrovitch’s feet, feeling that he might offend his client by the sight of his irrepressible amusement.",joy
298,"He looked at a moth that flew before his nose, and moved his hands, but did not catch it from regard for Alexey Alexandrovitch’s position.",anger
299,"“Though in their general features our laws on this subject are known to me,” pursued Alexey Alexandrovitch, “I should be glad to have an idea of the forms in which such things are done in practice.” “You would be glad,” the lawyer, without lifting his eyes, responded, adopting, with a certain satisfaction, the tone of his client’s remarks, “for me to lay before you all the methods by which you could secure what you desire?” And on receiving an assuring nod from Alexey Alexandrovitch, he went on, stealing a glance now and then at Alexey Alexandrovitch’s face, which was growing red in patches.",joy
300,"“Divorce by our laws,” he said, with a slight shade of disapprobation of our laws, “is possible, as you are aware, in the following cases....",joy
301,"Wait a little!” he called to a clerk who put his head in at the door, but he got up all the same, said a few words to him, and sat down again.",anger
302,“...,anger
303,"In the following cases: physical defect in the married parties, desertion without communication for five years,” he said, crooking a short finger covered with hair, “adultery” (this word he pronounced with obvious satisfaction), “subdivided as follows” (he continued to crook his fat fingers, though the three cases and their subdivisions could obviously not be classified together): “physical defect of the husband or of the wife, adultery of the husband or of the wife.” As by now all his fingers were used up, he uncrooked all his fingers and went on: “This is the theoretical view; but I imagine you have done me the honor to apply to me in order to learn its application in practice.",joy
304,"And therefore, guided by precedents, I must inform you that in practice cases of divorce may all be reduced to the following—there’s no physical defect, I may assume, nor desertion?...” Alexey Alexandrovitch bowed his head in assent.",anger
305,"“—May be reduced to the following: adultery of one of the married parties, and the detection in the fact of the guilty party by mutual agreement, and failing such agreement, accidental detection.",sadness
